0;Reserved;;;;;Reserved;;;
1;HREG_T_OP1;int16;10;;Room temperature sensor TE20;Temperature at operator panel 1;;Temperature at operator panel 1;
2;HREG_T_OP2;int16;10;;Room temperature sensor TE21;Temperature at operator panel 2;;Temperature at operator panel 2;
3;HREG_EFFECTIVE_TF;uint16;1;;Current supply fan speed;The current effective TF fanspeed;Fan speed, supply air;Current supply air fan speed;
4;HREG_EFFECTIVE_PF;uint16;1;;Current exhaust fan speed;The current effective PF fanspeed;Fan speed, extract air;Current extract air fan speed;
5;HREG_UPCOMING_TIME_PROGRAM;uint16;1;;Next time program;Indicates the time program which will start during the next two hours.;;;Values 1-20 indicate week program slots, value 101-105 indicate year program slots
6;HREG_T_FRS;int16;10;;Fresh air;TE01 (fresh air) temperature.;Fresh air;Outside air temperature at the unit (sensor TE01);
7;HREG_T_SPLY_LTO;int16;10;;Supply air after HRC;TE05: Fresh (incoming) air temperature after HRC.;Supply air after HRC;Supply air temperature after heat recovery (sensor TE05);
8;HREG_T_SPLY;int16;10;;Supply air;TE10 Room supply air temperature;Supply air;Supply air temperature after supply air heater (sensor TE10);
9;HREG_T_WST;int16;10;;Waste air;TE32 Waste air temperature;Exhaust air;Exhaust air temperature (sensor TE32);
10;HREG_T_EXT;int16;10;;Room removed air;TE30 Room removed air temperature.;Extract air temperature;Extract air temperature from building at the unit (sensor TE30);
11;HREG_T_EXT_LTO;int16;10;;Removed air before HRC;TE31 removed air before heat recycler.;Extract air before HRC;Extract air temperature after extract air coil before heat recovery in HP units (sensor TE31);
12;HREG_T_WR;int16;10;;Return water;TE45 heater element return water temperature.;Return water;Return water temperature in supply air heater (sensor TE45);
13;HREG_HUM_EXT;uint16;1;;Exhaust air humidity;RH30 measurement, removed air relative humidity;Air humidity;Extract air relative humidity \%RH at the unit (sensor RH30);
14;HREG_PRES_SPLYF;uint16;1;;Pressure difference supply;Pressure difference over filter, TF side;Pressure difference supply;Pressure difference over filter, TF side;
15;HREG_PRES_EXTF;uint16;1;;Pressure difference ext;Pressure difference over filter, PF side;Pressure difference ext.;Pressure difference over filter, PF side;
16;HREG_TE07;int16;10;;HP/MDX/Dehum supply air;Supply air temperature after dehumidification coil, or after heat pump coil in HP-E, HP-W, MDX-E and MDX-W units (sensor TE07);;;
17;HREG_AI1;uint16;10;;Analog input voltage;Raw conversion result for AI1;Measured input voltage AI1;Current measured input voltage;
18;HREG_AI2;uint16;10;;Analog input voltage;Raw conversion result for AI2;Measured input voltage AI2;Current measured input voltage;
19;HREG_AI3;uint16;10;;Analog input voltage;Raw conversion result for AI3;Measured input voltage AI3;Current measured input voltage;
20;HREG_AI4;uint16;10;;Analog input voltage;Raw conversion result for AI4;Measured input voltage AI4;Current measured input voltage;
21;HREG_AI5;uint16;10;;Analog input voltage;Raw conversion result for AI5;Measured input voltage AI5;Current measured input voltage;
22;HREG_AI6;uint16;10;;Analog input voltage;Raw conversion result for AI6;Measured input voltage AI6;Current measured input voltage;
23;HREG_AI1_RES;uint16;1;;Calculated value;Calculated result for AI1;Calculated value AI1;Calculated result;
24;HREG_AI2_RES;uint16;1;;Calculated value;Calculated result for AI2;Calculated value AI2;Calculated result;
25;HREG_AI3_RES;uint16;1;;Calculated value;Calculated result for AI3;Calculated value AI3;Calculated result;
26;HREG_AI4_RES;uint16;1;;Calculated value;Calculated result for AI4;Calculated value AI4;Calculated result;
27;HREG_AI5_RES;uint16;1;;Calculated value;Calculated result for AI5;Calculated value AI5;Calculated result;
28;HREG_AI6_RES;uint16;1;;Calculated value;Calculated result for AI6;Calculated value AI6;Calculated result;
29;HREG_LTO_N_SPLY;uint16;1;;Heat recovery efficiency n supply;HRC efficiency ratio (supply side);Heat recovery efficiency, supply air;Supply air temperature efficiency. Calculated from outside air-, supply air after heat recovery- and extract air temperature;
30;HREG_LTO_N_EXT;uint16;1;;Heat recovery efficiency n exhaust;HRC efficiency ratio (ext (removed air) side);Heat recovery efficiency, exhaust air;Extract air temperature efficiency. Calculated from extract air-, exhaust air- and outside air temperature. In HP-units calculated from HRC extract air-, exhaust air- and outside air temperature;
31;HREG_NTC_X6;int16;10;;Input X6;Optional NTC-10 input X6 measurement;;;
32;HREG_NTC_X7;int16;10;;Input X7;Optional NTC-10 input X7 measurement;;;
33;HREG_ABS_HUM_CTRL_OUTPUT;int16;1;;Absolute humidity control output;-100...0% = dehumidifying, 0 = none, 0...100% = humidifying;;;
34;HREG_NWK_STATUS;bitfield;1;;Network status;Ethernet block status;;;EMAC_STATUS_FAIL 0x0001, EMAC_STATUS_OK  0x0002, EMAC_STATUS_AUTONEG_COMPLETE 0x0004, EMAC_STATUS_AUTONEG_FAIL    0x0008, EMAC_STATUS_LINK_OK         0x0010  /* 0: no link, 1: link ok */, EMAC_STATUS_LINK_SPEED      0x0020  /* 0: 10 M, 1: 100M */, EMAC_STATUS_DUPLEX          0x0040  /* 0: half duplex, 1: full duplex */ , EMAC_STATUS_INIT_ONGOING    0x0080   
35;HREG_RH_MEAN;uint16;1;;48h air humidity average;Mean relative humidity, with 48 hour history, updated every hour.;Average air humidity, 48h;Extract air 48h mean relative humidity \%RH at the unit (sensor RH30). Updated every hour;
36;HREG_ABSHUM10;uint16;10;;Supply air absolute humidity;Supply air absolute humidity, calculated from sensors TE10 and RH10, assuming normal atmospheric pressure.;;;
37;HREG_SEC_RTC;uint16;1;;s;RTC seconds.;s;RTC seconds;
38;HREG_MIN_RTC;uint16;1;;min;RTC minutes.;min;RTC minutes;
39;HREG_HOUR_RTC;uint16;1;;h;RTC hours, 24 hour format.;h;RTC hours, 24 hour format;
40;HREG_DAY_RTC;uint16;1;;;RTC day-of-month;;RTC day of month;
41;HREG_MONTH_RTC;uint16;1;;;RTC month.;;RTC month;
42;HREG_YEAR_RTC;uint16;1;;;RTC year, exporessed in years since 2000.;;RTC year, expressed in years since 2000;
43;Reserved;;;;;Reserved;;;
44;HREG_MODE;bitfield;1;;Status;The current mode of the machine, used to display information to the user.;Status;All current states of unit, eg. Home, Central vacuum cleaner, HP/EDX defrost etc.;Bit 0 indicates Max cooling mode, bit 1: max heating. Bit 2: Machine is stopped due to A alarm. Bit 3 indicates the machine has been stopped by request (ie. not due to alarm condition). Bit 4: indicates Away state. Bit 5 is reserved. Bit 6 indicates temperature boosting, bit 7 CO2 boosting, bit 8 RH boosting, bit 9 manual boosting. Bit 10 overpressure mode, bit 11 cooker hood mode, bit 12 central vacuum cleaner mode. Bit 13 indicates cool-off period of electrical heating coil. Bit 14 indicates summer night cooling mode. Bit 15 indicates heat recovery wheel defrosting mode.  Value 0 indicates “normal” state, no special status is active. 
45;HREG_EXTMODE;bitfield;1;;Temperature control step;Currently active temperature control step: Cooling, Heat recovery (LTO), or heating.;Temperature controller;"Displays current state of temperature controller; cooling, heat recovery, heating or none.";Bits 0,1,2,3 have “enumerated” meaning:  TEMP_STEP_NONE = 0, TEMP_STEP_COOLING = 1, TEMP_STEP_LTO = 2, TEMP_STEP_HEATING = 4, TEMP_STEP_STARTUP = 7, TEMP_STEP_DEHUMIDIFICATION = 8. Bit 15 indicates Aqua mode, bit 14 indicates pre-heating active, bit 13 indicates that HP compressor effect is being limited, bit 12 indicates defrosting state of the HP or MDX unit
46;HREG_ROOM_TEMP;int16;10;;Room temperature average;TE20 room temperature, average value calculated from op panel sensors  and room temperature transmitters.;Room temperature average;Room temperature (average temperature of sensors connected to OP wallmounts and AI temperature measurements if connected);
47;HREG_CASCADE_SP;int16;10;;Setpoint for supply air;Setpoint for temperature controller responsible for maintaining the room supply air at a constant level;Setpoint for supply air;Setpoint for temperature controller responsible for maintaining the room supply air at a constant level;
48;HREG_DISPLAY_SP;int16;10;;;Temperature controller setpoint shown to user;;;
49;HREG_OUTPUT;int16;1;;Controller output;Output from the TC1 temperature PI controller;Temperature controller output;-200 to -100 additional cooling, -100...-1=cooling, 0=nothing, 1...100=heat recovery, 101...200=additional heating or heat pump, 201...300=additional heating in heat pump units;
50;Reserved;;;;;Reserved;;;
51;Reserved;;;;;Reserved;;;
52;Reserved;;;;;Reserved;;;
53;Reserved;;;;;Reserved;;;
54;Reserved;;;;;Reserved;;;
55;Reserved;;;;;Reserved;;;
56;Reserved;;;;;Reserved;;;
57;Reserved;;;;;Reserved;;;
58;Reserved;;;;;Reserved;;;
59;Reserved;;;;;Reserved;;;
60;Reserved;;;;;Reserved;;;
61;Reserved;;;;;Reserved;;;
62;Reserved;;;;;Reserved;;;
63;Reserved;;;;;Reserved;;;
64;Reserved;;;;;Reserved;;;
65;Reserved;;;;;Reserved;;;
66;Reserved;;;;;Reserved;;;
67;Reserved;;;;;Reserved;;;
68;Reserved;;;;;Reserved;;;
69;Reserved;;;;;Reserved;;;
70;Reserved;;;;;Reserved;;;
71;Reserved;;;;;Reserved;;;
72;Reserved;;;;;Reserved;;;
73;Reserved;;;;;Reserved;;;
74;Reserved;;;;;Reserved;;;
75;Reserved;;;;;Reserved;;;
76;Reserved;;;;;Reserved;;;
77;Reserved;;;;;Reserved;;;
78;Reserved;;;;;Reserved;;;
79;Reserved;;;;;Reserved;;;
80;Reserved;;;;;Reserved;;;
81;Reserved;;;;;Reserved;;;
82;Reserved;;;;;Reserved;;;
83;Reserved;;;;;Reserved;;;
84;Reserved;;;;;Reserved;;;
85;Reserved;;;;;Reserved;;;
86;Reserved;;;;;Reserved;;;
87;Reserved;;;;;Reserved;;;
88;Reserved;;;;;Reserved;;;
89;Reserved;;;;;Reserved;;;
90;Reserved;;;;;Reserved;;;
91;Reserved;;;;;Reserved;;;
